"last_name, first_name","player_id","year","pitch_hand","arm_angle","ff_avg_speed","ff_avg_spin","ff_avg_break_x","ff_avg_break_z_induced","sl_avg_speed","sl_avg_spin","sl_avg_break_x","sl_avg_break_z_induced","ch_avg_speed","ch_avg_spin","ch_avg_break_x","ch_avg_break_z_induced","cu_avg_speed","cu_avg_spin","cu_avg_break_x","cu_avg_break_z_induced","si_avg_speed","si_avg_spin","si_avg_break_x","si_avg_break_z_induced","fc_avg_speed","fc_avg_spin","fc_avg_break_x","fc_avg_break_z_induced","fs_avg_speed","fs_avg_spin","fs_avg_break_x","fs_avg_break_z_induced","st_avg_speed","st_avg_spin","st_avg_break_x","st_avg_break_z_induced","sv_avg_speed","sv_avg_spin","sv_avg_break_x","sv_avg_break_z_induced"
"Ortiz, Luis",682847,2025,"R",21.9,"96.4","2280","-12.5","11.9","85.5","2389","6.3","0.9","89.3","1461","-14.6","2.7",,,,,"95.4","2279","-16.5","3","91.1","2337","0.5","9.1",,,,,,,,,,,,
"Keller, Mitch",656605,2025,"R",37.7,"93.9","2401","-8.7","15.1","87","2528","4.6","-0.4","89.1","2018","-14.3","1.5","77.4","2612","12","-14.2","92.9","2454","-14.9","8.9","92.4","2427","1.3","9.6",,,,,"82.1","2707","17.9","-0.6",,,,
"Skenes, Paul",694973,2025,"R",23,"98.2","2223","-14.7","11.3","85.1","2326","3.7","7.4","88.2","1839","-17.2","5.1","83.5","2457","6.4","-2.8","97.7","2238","-17.7","5.7",,,,,"93.7","1691","-13.7","0","84.5","2330","11.2","6",,,,
"Brown, Ben",676962,2025,"R",44.8,"95.8","2215","-7.5","17.1",,,,,"90.5","1344","-12.4","7.6","86.8","2300","2.8","-2.6",,,,,,,,,,,,,,,,,,,,
"Williams, Gavin",668909,2025,"R",35.8,"96.6","2305","-10.6","15.5",,,,,"87.6","1986","-5.4","5","81.9","2470","9.5","-13.6","95.4","2013","-14.3","10","91.7","2285","-2.3","7",,,,,"86.8","2287","9.4","-1.3",,,,
"Peterson, David",656849,2025,"L",40.6,"92.4","2121","4.9","13.7","84.6","2303","-2.6","-0.1","84.2","1555","14.5","5","78.7","2350","-5.9","-8.2","91.1","2115","14.4","7.7",,,,,,,,,,,,,,,,
"Pfaadt, Brandon",694297,2025,"R",28.3,"93.6","2565","-5.9","15.7",,,,,"87.6","2088","-16","4.4","82.5","2754","9.8","-6.8","93.3","2415","-15.3","7.4","89.9","2768","1.6","7",,,,,"84.6","2869","10.5","5.7",,,,
"Soriano, José",667755,2025,"R",37.4,"97.7","2190","-8.2","13.5","88.9","2387","1.8","-0.5",,,,,"85.1","2500","12","-10","97.1","1911","-13.1","3.2",,,,,"91.9","1458","-10.1","-0.3",,,,,,,,
"Rea, Colin",607067,2025,"R",30.3,"93.8","2203","-8.6","14.1","84.8","2249","4.2","-2.2",,,,,"80.2","2226","10.6","-7.8","93.2","2148","-15.1","8.6","87.9","2210","1.7","7.6","87.2","1453","-13.6","0.2","82.2","2465","14.1","2",,,,
"Gusto, Ryan",687473,2025,"R",44.6,"94.1","2423","-5.9","18.2","83.4","2218","6.8","3","88","1890","-15.9","8.9","80.4","2427","8.3","-13.2","93.8","2335","-16.1","7.9","89","2406","4.4","6.2",,,,,"82.2","2235","13.6","3",,,,
"Sánchez, Cristopher",650911,2025,"L",29.7,,,,,"85.3","2094","-1.8","-0.5","86.1","2038","16.6","-1.6",,,,,"95.3","2148","18.4","4.5",,,,,,,,,,,,,,,,
